"","ID","focal","competitor","density","competition","inoculum","decay","treatment","tot_focal","tot_comp","Above_focal","Above_comp","Below_focal","Below_comp","Remove_density","Above_focal_initial","Below_focal_initial","tot_focal_initial","Above_comp_initial","Below_comp_initial","tot_comp_initial","moss"
"199","199","ENGERO","MACHZU",2,"heterospecific","unsterilized+living","living","unsterilized",0.19821,0.54489,0.15486,0.39122,0.04335,0.15367,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,100
"200","200","ENGERO","MACHZU",4,"heterospecific","unsterilized+living","living","unsterilized",2.99198,2.02782,2.11438,1.00391,0.8776,1.02391,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,80
"201","201","MACHZU","MACHZU",0,"conspecific","sterilized+living","living","sterilized",0.8685,0,0.57427,0,0.29423,0,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,30
"202","202","MACHZU","MACHZU",1,"conspecific","sterilized+living","living","sterilized",0.241374839147182,0.368535160852818,0.14927,0.21939,0.0921048391471817,0.149145160852818,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,10
"203","203","MACHZU","MACHZU",2,"conspecific","sterilized+living","living","sterilized",0.279620823943662,0.366249176056338,0.14277,0.24063,0.136850823943662,0.125619176056338,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
"204","204","MACHZU","MACHZU",4,"conspecific","sterilized+living","living","sterilized",0.178084689676928,1.05538531032307,0.10048,0.66034,0.0776046896769275,0.395045310323072,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,5
"205","205","ENGERO","MACHZU",0,"heterospecific","sterilized+living","living","sterilized",0.32146,0,0.27433,0,0.04713,0,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
"206","206","ENGERO","MACHZU",1,"heterospecific","sterilized+living","living","sterilized",0.2176,0.23178,0.18406,0.11036,0.03354,0.12142,1,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
"207","207","ENGERO","MACHZU",2,"heterospecific","sterilized+living","living","sterilized",0.13612,0.36068,0.1153,0.23712,0.02082,0.12356,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
"208","208","ENGERO","MACHZU",4,"heterospecific","sterilized+living","living","sterilized",0.56754,1.05822,0.4363,0.69808,0.13124,0.36014,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
