"","focal x comp","inoculum","q.05","q.95","estimate"
"1","ENGERO x ENGERO","sterilized+dead",-0.430247839692399,0.0382529210137821,-0.169163172283717
"2","ENGERO x ENGERO","sterilized+living",-0.0198480222305906,0.159339515195563,0.0582370069196669
"3","ENGERO x ENGERO","unsterilized+dead",0.105140721146822,0.312358049029996,0.21198360634231
"4","ENGERO x ENGERO","unsterilized+living",-0.127088271990087,0.116276823145917,0.000838946393349457
"5","ENGERO x MACHZU","sterilized+dead",0.606278344425657,2.76058521638368,1.57592384574872
"6","ENGERO x MACHZU","sterilized+living",-0.200636705392875,0.444804188986655,0.127833388405962
"7","ENGERO x MACHZU","unsterilized+dead",-0.0893083886923536,0.454803366634771,0.231998282274967
"8","ENGERO x MACHZU","unsterilized+living",-0.00221594332852718,0.575928596131558,0.267018138154981
"9","MACHZU x ENGERO","sterilized+dead",-0.162450393439409,0.11063099040617,-0.0218354070107635
"10","MACHZU x ENGERO","sterilized+living",-0.0681667359984057,0.204711253077928,0.0662895621677652
"11","MACHZU x ENGERO","unsterilized+dead",-0.0782640977730882,0.0619470571764513,-0.0130293753941438
"12","MACHZU x ENGERO","unsterilized+living",-0.145974519358493,0.0428926869939055,-0.0429882828700802
"13","MACHZU x MACHZU","sterilized+dead",-0.281829776454575,0.199116247817718,-0.0397818273029377
"14","MACHZU x MACHZU","sterilized+living",-0.331548454807859,0.176685135963958,-0.0812544447733507
"15","MACHZU x MACHZU","unsterilized+dead",-0.0407538278924169,0.267329208533568,0.124984656326932
"16","MACHZU x MACHZU","unsterilized+living",-0.186053521458683,0.0406123100329817,-0.0847278337328469
