"","focal x comp","inoculum","q.05","q.95","estimate"
"1","ENGERO x ENGERO","sterilized+dead",-0.537145718404585,0.00188538177477689,-0.239235952291304
"2","ENGERO x ENGERO","sterilized+living",-0.0483809692459272,0.113234989715045,0.0275005705828728
"3","ENGERO x ENGERO","unsterilized+dead",0.184850985183927,0.401700166934275,0.307277042606997
"4","ENGERO x ENGERO","unsterilized+living",-0.257958486416227,0.0865733746571813,-0.0698185720669889
"5","ENGERO x MACHZU","sterilized+dead",0.0832668739258414,1.40673634549152,0.709406105472289
"6","ENGERO x MACHZU","sterilized+living",-0.155162926395276,0.285746947004035,0.0615214023789218
"7","ENGERO x MACHZU","unsterilized+dead",-0.205317762091478,0.250768365410079,0.0188757201151277
"8","ENGERO x MACHZU","unsterilized+living",-0.0020093094929935,0.460543429515266,0.215380361430887
"9","MACHZU x ENGERO","sterilized+dead",-0.188252211198833,0.0813851464367912,-0.0520605510282813
"10","MACHZU x ENGERO","sterilized+living",-0.0812863759682274,0.218846637776226,0.0493432164655098
"11","MACHZU x ENGERO","unsterilized+dead",-0.108112244625906,0.0439631270463533,-0.0342123918688213
"12","MACHZU x ENGERO","unsterilized+living",-0.103658462979592,0.104801228789589,0.00315263535154421
"13","MACHZU x MACHZU","sterilized+dead",-0.179609898968426,0.0999404999197543,-0.0474582828478921
"14","MACHZU x MACHZU","sterilized+living",-0.243510438929383,0.00660991330218544,-0.124685952935775
"15","MACHZU x MACHZU","unsterilized+dead",-0.0255335354595553,0.181680194133711,0.0803797900759531
"16","MACHZU x MACHZU","unsterilized+living",-0.124656334549904,0.11415210001465,-0.00184714896552477
